total_bill,tip,sex,smoker,day,time,size,name,Invoice Date
16.99,1.01,Female,No,Sun,Dinner,2,Braund,13-Oct-10
10.34,1.66,Male,No,Sun,Dinner,3,Cumings,01-Oct-12
21.01,3.5,Male,No,Sun,Dinner,3,Heikkinen,01-Oct-12
23.68,3.31,Male,No,Sun,Dinner,2,Futrelle,10-Jul-11
24.59,3.61,Female,No,Sun,Dinner,4,Allen,28-Aug-10
25.29,4.71,Male,No,Sun,Dinner,4,Moran,28-Aug-10
8.77,2,Male,No,Sun,Dinner,2,McCarthy,17-Jun-11
26.88,3.12,Male,No,Sun,Dinner,4,Palsson,17-Jun-11
15.04,1.96,Male,No,Sun,Dinner,2,Johnson,24-Mar-11
14.78,3.23,Male,No,Sun,Dinner,2,Nasser,26-Feb-10
10.27,1.71,Male,No,Sun,Dinner,2,Sandstrom,23-Nov-10
35.26,5,Female,No,Sun,Dinner,4,Bonnell,23-Nov-10
15.42,1.57,Male,No,Sun,Dinner,2,Saundercock,08-Jun-12
18.43,3,Male,No,Sun,Dinner,4,Andersson,08-Jun-12
14.83,3.02,Female,No,Sun,Dinner,2,Vestrom,04-Aug-12
21.58,3.92,Male,No,Sun,Dinner,2,Hewlett,30-May-11
10.33,1.67,Female,No,Sun,Dinner,3,Rice,25-Nov-09
16.29,3.71,Male,No,Sun,Dinner,3,Williams,14-Feb-12
16.97,3.5,Female,No,Sun,Dinner,3,Vander Planke,14-Feb-12
20.65,3.35,Male,No,Sat,Dinner,3,Masselmani,15-Apr-12
17.92,4.08,Male,No,Sat,Dinner,2,Fynney,15-Apr-12
20.29,2.75,Female,No,Sat,Dinner,2,Beesley,12-Mar-10
15.77,2.23,Female,No,Sat,Dinner,2,McGowan,12-Mar-10
39.42,7.58,Male,No,Sat,Dinner,4,Sloper,09-Mar-11
19.82,3.18,Male,No,Sat,Dinner,2,Palsson,09-Mar-11
17.81,2.34,Male,No,Sat,Dinner,4,Asplund,04-Aug-12
13.37,2,Male,No,Sat,Dinner,2,Emir,06-May-11
12.69,2,Male,No,Sat,Dinner,2,Fortune,23-Dec-10
21.7,4.3,Male,No,Sat,Dinner,2,O'Dwyer,08-Nov-10
19.65,3,Female,No,Sat,Dinner,2,Todoroff,21-Oct-12
9.55,1.45,Male,No,Sat,Dinner,2,Uruchurtu,01-Jan-11
18.35,2.5,Male,No,Sat,Dinner,4,Spencer,01-Jan-11
15.06,3,Female,No,Sat,Dinner,2,Glynn,10-Oct-11
20.69,2.45,Female,No,Sat,Dinner,4,Wheadon,10-Oct-11
17.78,3.27,Male,No,Sat,Dinner,2,Meyer,23-Sep-10
24.06,3.6,Male,No,Sat,Dinner,3,Holverson,19-Jul-11
16.31,2,Male,No,Sat,Dinner,3,Mamee,09-Oct-09
16.93,3.07,Female,No,Sat,Dinner,3,Cann,09-Oct-09
18.69,2.31,Male,No,Sat,Dinner,3,Vander Planke,09-Oct-09
